bucket	signature	post_filter_rank	n_steps	score	route_class	max_terminal_heavy_atoms	tags	terminal_reactants
C_triage_fragment_weak	4cab2f75989d9dfe	162	18	5.31915031928206e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CCOC(=O)C(C)C | O=C(O)CC(=O)O
C_triage_fragment_weak	7133b76cc2f0b424	184	18	2.903680012834074e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(C)C(=O)O | O=C(Cl)C(=O)Cl | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	d7f8417c1131c14f	211	18	1.397739001103334e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(C)C(=O)O | O=C(Cl)C(=O)Cl | O=C(O)CC(=O)O
C_triage_fragment_weak	5c704d17fd54d31a	217	18	1.1286970452517486e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(=O)CC(C)=O | CC(C)=O | COC(=O)OC | CC(=O)[O-]
C_triage_fragment_weak	404a2210f4c783c6	219	18	1.1254874589266371e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CC(=O)CC(C)=O | COC(=O)OC | CC(=O)[O-]
C_triage_fragment_weak	f4aa0a2e690c8d2e	223	18	9.26970281949016e-08	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(=O)CC(C)=O | CC(C)=O | CCOC(=O)CC(=O)[O-]
C_triage_fragment_weak	3b8d37709deecfd9	224	18	9.243343300314981e-08	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CC(=O)CC(C)=O | CCOC(=O)CC(=O)[O-]
C_triage_fragment_weak	71b5cd0ad5ce0ff5	225	18	9.09670975751747e-08	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | O=C(n1ccnc1)n1ccnc1 | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	837d565f6ef62f2c	227	18	9.069343982650442e-08	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | CC(C)=O | COC(=O)OC | CC(=O)[O-]
C_triage_fragment_weak	efad038d3de6da3a	235	18	7.448422394704652e-08	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | CC(C)=O | CCOC(=O)CC(=O)[O-]
