template_id,template,n_examples
1148,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[C@H;D3;+0:13](-[OH;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17],2
1149,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;D1;H0:7]=[#16:8](=[O;D1;H0:9])(-[O;D1;H1:10])-[c:11]1:[c:12]:[c:13]:[c:14]2:[c:15](:[c:16]:1)-[C:17]-[c:18]1:[c:19]:[c:20]:[c:21](-[#16:22](=[O;D1;H0:23])(=[O;D1;H0:24])-[O;D1;H1:25]):[c:26]:[c:27]:1-[CH;D3;+0:28]-2-[OH;D1;+0:29]>>[C:1]-[C@H;D3;+0:2](-[OH;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;D1;H0:7]=[#16:8](=[O;D1;H0:9])(-[O;D1;H1:10])-[c:11]1:[c:12]:[c:13]:[c:14]2:[c:15](:[c:16]:1)-[C:17]-[c:18]1:[c:19]:[c:20]:[c:21](-[#16:22](=[O;D1;H0:23])(=[O;D1;H0:24])-[O;D1;H1:25]):[c:26]:[c:27]:1-[C;H0;D3;+0:28]-2=[O;H0;D1;+0:29],2
1150,[#7:1]=[C:2]-[CH;D3;+0:3](-[C:4])-[OH;D1;+0:5].[#8:6]-[C:7]-[n+;H0;D3:8]1:[cH;D2;+0:9]:[c;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[O;D1;H0:13]):[cH;D2;+0:14]:[cH;D2;+0:15]:[cH;D2;+0:16]:1>>[#7:1]=[C:2]-[C;H0;D3;+0:3](-[C:4])=[O;H0;D1;+0:5].[#8:6]-[C:7]-[N;H0;D3;+0:8]1-[CH;D2;+0:9]=[C;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[O;D1;H0:13])-[CH2;D2;+0:14]-[CH;D2;+0:15]=[CH;D2;+0:16]-1,2
1151,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C@@H;D3;+0:13](-[OH;D1;+0:16])-[C:14]=[C:15].[OH2;D0;+0:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[CH2;D2;+0:13]-[C:14]=[C:15].[O;H0;D1;+0:16]=[O;H0;D1;+0:17],2
1152,[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[NH;D2;+0:6]-[CH;D3;+0:7](-[C:8])-[C:9]-[#7:10]-1.[#8:11]-[C:12]-[n+;H0;D3:13]1:[cH;D2;+0:14]:[c;H0;D3;+0:15](-[C:16](-[N;D1;H2:17])=[O;D1;H0:18]):[cH;D2;+0:19]:[cH;D2;+0:20]:[cH;D2;+0:21]:1>>[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D2;+0:6]=[C;H0;D3;+0:7](-[C:8])-[C:9]-[#7:10]-1.[#8:11]-[C:12]-[N;H0;D3;+0:13]1-[CH;D2;+0:14]=[C;H0;D3;+0:15](-[C:16](-[N;D1;H2:17])=[O;D1;H0:18])-[CH2;D2;+0:19]-[CH;D2;+0:20]=[CH;D2;+0:21]-1,2
1153,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[c:14].[C:16]-[OH;D1;+0:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C@H;D3;+0:13](-[c:14])-[O;H0;D2;+0:15]-[C:16],2
1154,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[OH;D1;+0:7]-[OH;D1;+0:8]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D3;+0:4](-[OH;D1;+0:5])-[c:6].[O;H0;D1;+0:7]=[O;H0;D1;+0:8],2
1155,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17],2
1156,[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D2;+0:6]=[C;H0;D3;+0:7](-[C:8])-[C:9]-[#7:10]-1.[O;D1;H0:11]=[C:12](-[O;D1;H1:13])-[C:14]-[CH;D3;+0:15](-[OH;D1;+0:17])-[S;D1;H1:16].[OH2;D0;+0:18]>>[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[NH;D2;+0:6]-[C@@H;D3;+0:7](-[C:8])-[C:9]-[#7:10]-1.[O;D1;H0:11]=[C:12](-[O;D1;H1:13])-[C:14]-[CH2;D2;+0:15]-[S;D1;H1:16].[O;H0;D1;+0:17]=[O;H0;D1;+0:18],2
1157,[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:6]-[C:7](-[#8:8])=[O;D1;H0:9].[#8:10]-[C:11]-[n+;H0;D3:12]1:[cH;D2;+0:13]:[c;H0;D3;+0:14](-[C:15](-[N;D1;H2:16])=[O;D1;H0:17]):[cH;D2;+0:18]:[cH;D2;+0:19]:[cH;D2;+0:20]:1>>[#8:1]-[C:2](=[O;D1;H0:3])/[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]/[C:7](-[#8:8])=[O;D1;H0:9].[#8:10]-[C:11]-[N;H0;D3;+0:12]1-[CH;D2;+0:13]=[C;H0;D3;+0:14](-[C:15](-[N;D1;H2:16])=[O;D1;H0:17])-[CH2;D2;+0:18]-[CH;D2;+0:19]=[CH;D2;+0:20]-1,2
1158,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[O;H0;D2;+0:9]-[C:8]-[#8:7]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#8:7]-[C:8]-[OH;D1;+0:9],2
1159,[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:7])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;D1;H0:11]=[C:10](-[O;D1;H1:12])-[C:9]-[CH;D2;+0:8]=[O;H0;D1;+0:3]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[NH2;D1;+0:7]-[CH2;D2;+0:8]-[C:9]-[C:10](=[O;D1;H0:11])-[O;D1;H1:12],2
1160,[#7;a:9]:[c;H0;D3;+0:10](-[CH3;D1;+0:3]):[#7;a:11].[#7;a:1]:[cH;D2;+0:2]:[c:4](:[#7;a:5]):[c:6](:[#7;a:7]):[#7;a:8]>>[#7;a:1]:[c;H0;D3;+0:2](-[CH3;D1;+0:3]):[c:4](:[#7;a:5]):[c:6](:[#7;a:7]):[#7;a:8].[#7;a:9]:[cH;D2;+0:10]:[#7;a:11],2
1161,[C:6]-[O;H0;D2;+0:7]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[C:5]-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C:5].[C:6]-[OH;D1;+0:7],2
1162,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[O;H0;D2;+0:10]-[C:9]-[C:8]=[O;D1;H0:7]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[O;D1;H0:7]=[C:8]-[C:9]-[OH;D1;+0:10],2
1163,[C:5]-[S;H0;D2;+0:4]-[CH3;D1;+0:1].[C:2]-[SH;D1;+0:3]>>[CH4;D0;+0:1].[C:2]-[S;H0;D2;+0:3]-[S;H0;D2;+0:4]-[C:5],2
1164,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9].[#8:3]-[C:4]-[OH;D1;+0:5]>>[#15:1]-[OH;D1;+0:2].[#8:3]-[C:4]-[O;H0;D2;+0:5]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9],2
1165,[#15:1]-[OH;D1;+0:2].[C:4]-[CH2;D2;+0:3]-[S;H0;D2;+0:6]-[C:5]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4].[C:5]-[SH;D1;+0:6],2
1166,[C:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6].[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9],2
1167,[#1;H0;D0;+1].[C:1]-[S;H0;D2;+0:2]-[C:3].[C:5]=[C:6]-[C:7](=[O;D1;H0:8])-[O;H0;D2;+0:9]-[CH3;D1;+0:4]>>[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[C:5]=[C:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9],2
1168,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:11](-[C:12])=[O;D1;H0:13].[C:7]-[C;H0;D3;+0:6](=[O;D1;H0:8])-[OH;D1;+0:14].[C:9]-[SH;D1;+0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:6](-[C:7])=[O;D1;H0:8].[C:9]-[S;H0;D2;+0:10]-[C;H0;D3;+0:11](-[C:12])=[O;D1;H0:13].[OH2;D0;+0:14],2
1169,[#15:1]-[OH;D1;+0:2].[#8:4]-[C@@H;D3;+0:3](-[n+;H0;D3:7](:[c:6]):[c:8])-[C:5]>>[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:3](-[#8:4])-[C:5].[c:6]:[n;H0;D2;+0:7]:[c:8],2
1170,[C:1]-[SH;D1;+0:2].[O;D1;H0:4]=[C;H0;D3;+0:3](/[C:5]=[C:6]/[c:7])-[O;H0;D2;+0:10]-[C:9]=[O;D1;H0:8]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])/[C:5]=[C:6]/[c:7].[O;D1;H0:8]=[C:9]-[OH;D1;+0:10],2
1171,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[CH2;D2;+0:8]-[C:7]=[O;D1;H0:6].[C:5]-[SH;D1;+0:4].[O;D1;H0:10]=[C;H0;D2;+0:9]=[O;H0;D1;+0:11]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[C:5].[O;D1;H0:6]=[C:7]-[CH2;D2;+0:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[OH;D1;+0:11],2
1172,[#1;H0;D0;+1].[#7;a:1]:[c:2]:[c:3]-[O;H0;D2;+0:4]-[CH3;D1;+0:8].[C:5]-[S;H0;D2;+0:6]-[C:7]>>[#7;a:1]:[c:2]:[c:3]-[OH;D1;+0:4].[C:5]-[S+;H0;D3:6](-[C:7])-[CH3;D1;+0:8],2
1173,[C:6]-[N;H0;D3;+0:7](-[O;D1;H1:8])-[CH;D2;+0:4]=[O;D1;H0:5].[C:1]-[NH;D2;+0:2]-[c:3]>>[C:1]-[N;H0;D3;+0:2](-[c:3])-[CH;D2;+0:4]=[O;D1;H0:5].[C:6]-[NH;D2;+0:7]-[O;D1;H1:8],2
1174,[#15:1]-[OH;D1;+0:2].[#8:4]-[CH;D3;+0:3](-[O;H0;D2;+0:9]-[c:8]:[c:7]:[#8;a:6])-[C:5]>>[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:3](-[#8:4])-[C:5].[#8;a:6]:[c:7]:[c:8]-[OH;D1;+0:9],2
1175,[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D3;+0:6]2-[CH2;D2;+0:16]-[N;H0;D3;+0:9](-[c:10])-[C:8]-[CH;D3;+0:7]-2-[C:11]-[#7:12]-1.[#7;a:13]:[c:14]:[cH;D2;+0:15]:[c:17]:[#7;a:18]>>[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D2;+0:6]=[C;H0;D3;+0:7](-[C:8]-[NH;D2;+0:9]-[c:10])-[C:11]-[#7:12]-1.[#7;a:13]:[c:14]:[c;H0;D3;+0:15](-[CH3;D1;+0:16]):[c:17]:[#7;a:18],2
1176,[C:7]-[S;H0;D2;+0:8]-[C;H0;D3;+0:2](-[C;D1;H3:1])=[O;D1;H0:3].[O;D1;H0:5]=[CH;D2;+0:4]-[O;D1;H1:6]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[SH;D1;+0:8],2
1177,[#15:1]-[OH;D1;+0:2].[C:6]-[S;H0;D2;+0:7]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5]>>[#15:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5].[C:6]-[SH;D1;+0:7],2
1178,[#15:1]-[OH;D1;+0:2].[C:7]-[C@@H;D3;+0:8](-[C;D1;H3:9])-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[CH;D3;+0:8](-[C;D1;H3:9])-[OH;D1;+0:10],2
1179,[#15:1]-[OH;D1;+0:2].[C;D1;H3:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C;D1;H3:7]-[C:8](=[O;D1;H0:9])-[OH;D1;+0:10],2
1180,[C:1]-[SH;D1;+0:2].[C:6]=[C:7]-[O;H0;D2;+0:8]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5].[C:6]=[C:7]-[OH;D1;+0:8],2
1181,[#15:1]-[OH;D1;+0:2].[#7;a:6]:[c:7]:[n;H0;D3;+0:8](-[C@H;D3;+0:3](-[#8:4])-[C:5]):[c:9]-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:3](-[#8:4])-[C:5].[#7;a:6]:[c:7]:[nH;D2;+0:8]:[c:9]-[C:10](=[O;D1;H0:11])-[O;D1;H1:12],2
1182,[#15:1]-[OH;D1;+0:2].[#8:4]-[CH;D3;+0:3](-[O;H0;D2;+0:7]-[C:6])-[C:5]>>[#15:1]-[O;H0;D2;+0:2]-[C@H;D3;+0:3](-[#8:4])-[C:5].[C:6]-[OH;D1;+0:7],2
1183,[#15:1]-[OH;D1;+0:2].[#8:7]-[C@@H;D3;+0:8](-[OH;D1;+0:12])-[C:9].[C:11]-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[#8:7]-[C@H;D3;+0:8](-[C:9])-[O;H0;D2;+0:10]-[C:11].[OH2;D0;+0:12],2
1184,[#15:1]-[OH;D1;+0:2].[#8:7]-[C:8](-[O;H0;D2;+0:9]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#8:7]-[C:8](-[OH;D1;+0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12],2
1185,[C:1]-[SH;D1;+0:2].[C:6]=[C:7]/[C:8]-[O;H0;D2;+0:9]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[c:5]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[c:5].[C:6]=[C:7]/[C:8]-[OH;D1;+0:9],2
1186,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:5]-[C:4]=[#7:3].[NH2;D1;+0:6]-[c:7]>>[#15:1]-[OH;D1;+0:2].[#7:3]=[C:4]-[CH2;D2;+0:5]-[NH;D2;+0:6]-[c:7],2
1187,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[CH;D3;+0:8](-[OH;D1;+0:7])-[c:9].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6].[O;H0;D1;+0:7]=[CH;D2;+0:8]-[c:9],2
1188,[#7;a:1]:[c:2]:[c;H0;D3;+0:3](-[CH2;D2;+0:16]-[OH;D1;+0:17]):[c:4]:[#7;a:5].[#7;a:6]:[c:7]:[c:8](:[c:9]:[#7;a:10])-[NH;D2;+0:11]-[C:12]-[C:13]-[NH;D2;+0:14]-[c:15]>>[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:4]:[#7;a:5].[#7;a:6]:[c:7]:[c:8](:[c:9]:[#7;a:10])-[N;H0;D3;+0:11]1-[C:12]-[C:13]-[N;H0;D3;+0:14](-[c:15])-[CH2;D2;+0:16]-1.[OH2;D0;+0:17],2
1189,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:11](-[#8:12])-[C:13].[#7;a:3]:[c:4]:[c:5]1:[nH;D2;+0:10]:[c:9]:[#7;a:8]:[c:6]:1:[#7;a:7]>>[#15:1]-[OH;D1;+0:2].[#7;a:3]:[c:4]:[c:5]1:[c:6](:[#7;a:7]):[#7;a:8]:[c:9]:[n;H0;D3;+0:10]:1-[C@@H;D3;+0:11](-[#8:12])-[C:13],2
1190,[C:7]-[C;H0;D3;+0:8](=[O;H0;D1;+0:3])-[C:10].[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[C@@H;D3;+0:8](-[NH2;D1;+0:9])-[C:10],2
1191,[C;D1;H3:7]-[C;H0;D3;+0:6](=[O;D1;H0:8])-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3].[C:4]-[SH;D1;+0:5]>>[CH3;D1;+0:1]-[C:2]=[O;D1;H0:3].[C:4]-[S;H0;D2;+0:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;D1;H0:8],2
1192,[C:1]-[CH2;D2;+0:2]-[NH;D2;+0:6]-[C:5].[C:4]-[NH2;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[NH;D2;+0:3]-[C:4].[C:5]-[NH2;D1;+0:6],2
1193,[C;D1;H3:1]-[CH;D3;+0:2](-[NH2;D1;+0:7])-[c:4].[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:3]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[c:4].[C:5]-[CH2;D2;+0:6]-[NH2;D1;+0:7],2
1194,[#8:6]-[C;H0;D4;+0:4](-[C:5])(-[OH;D1;+0:3])-[C:7].[#8:1]-[C@H;D3;+0:2](-[O;H0;D2;+0:10]-[C:9])-[C:8]>>[#8:1]-[C@H;D3;+0:2](-[O;H0;D2;+0:3]-[C@@;H0;D4;+0:4](-[C:5])(-[#8:6])-[C:7])-[C:8].[C:9]-[OH;D1;+0:10],2
1195,[#15:1]-[OH;D1;+0:2].[C:7]-[C@H;D3;+0:8](-[C:9])-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[CH;D3;+0:8](-[C:9])-[OH;D1;+0:10],2
1196,[#15:1]-[OH;D1;+0:2].[C:6]-[S;H0;D2;+0:7]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5]>>[#15:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:6]-[SH;D1;+0:7],2
1197,[#15:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:5](=[C;D1;H2:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[C:3]-[OH;D1;+0:4]>>[#15:1]-[OH;D1;+0:2].[C:3]-[O;H0;D2;+0:4]-[C;H0;D3;+0:5](=[C;D1;H2:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],2
1198,[C:1]-[SH;D1;+0:2].[C:6]=[C:7]-[C:8]-[O;H0;D2;+0:9]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:6]=[C:7]-[C:8]-[OH;D1;+0:9],2
1199,[C:8]-[S;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[O;D1;H0:7]=[C:6]-[C:5]-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[C:8]-[SH;D1;+0:9],2
1200,[#15:1]-[OH;D1;+0:2].[#7;a:7]:[c:8]:[c:9](-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]):[c:11]:[#7;a:12]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[#7;a:7]:[c:8]:[c:9](-[OH;D1;+0:10]):[c:11]:[#7;a:12],2
1201,[C:1]-[SH;D1;+0:2].[O;D1;H0:8]=[C:9](-[O;D1;H1:10])-[C:11]-[O;H0;D2;+0:12]-[C;H0;D3;+0:3](=[O;D1;H0:4])/[C:5]=[C:6]/[c:7]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])/[C:5]=[C:6]/[c:7].[O;D1;H0:8]=[C:9](-[O;D1;H1:10])-[C:11]-[OH;D1;+0:12],2
1202,[C:1]-[OH;D1;+0:2].[C:6]-[S;H0;D2;+0:7]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5]>>[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:6]-[SH;D1;+0:7],2
1203,[C:5]-[SH;D1;+0:4].[C:6]=[C:7]-[C:8](-[O;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3])-[C:10]=[O;D1;H0:11]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[C:5].[C:6]=[C:7]-[C:8](-[OH;D1;+0:9])-[C:10]=[O;D1;H0:11],2
1204,[#8:6]-[C;H0;D4;+0:4](-[C:5])(-[OH;D1;+0:3])-[C:7].[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:10]-[C:9])-[C:8]>>[#8:1]-[C@H;D3;+0:2](-[O;H0;D2;+0:3]-[C@;H0;D4;+0:4](-[C:5])(-[#8:6])-[C:7])-[C:8].[C:9]-[OH;D1;+0:10],2
1205,[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:6]-[c:7])-[C:5].[OH;D1;+0:3]-[c:4]>>[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:3]-[c:4])-[C:5].[OH;D1;+0:6]-[c:7],2
1206,[C:1]-[SH;D1;+0:2].[C:6]=[C:7]-[C:8](-[O;H0;D2;+0:9]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5])-[C:10]=[O;D1;H0:11]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:6]=[C:7]-[C:8](-[OH;D1;+0:9])-[C:10]=[O;D1;H0:11],2
