template_id,template,n_examples
55,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[O;D1;H0:12]=[C;H0;D3;+0:13](-[OH;D1;+0:15])-[c:14]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[O;D1;H0:12]=[CH;D2;+0:13]-[c:14].[OH2;D0;+0:15],33
56,[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[OH;D1;+0:7].[NH2;D1;+0:5]-[c:6]>>[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:5]-[c:6].[OH2;D0;+0:7],32
57,[C:7]-[O;H0;D2;+0:8]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:1]-[OH;D1;+0:2]>>[C:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[OH;D1;+0:8],31
58,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:9].[NH2;D1;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[OH2;D0;+0:9],31
59,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:4])-[OH;D1;+0:5].[NH3;D0;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3].[OH2;D0;+0:4].[OH2;D0;+0:5],31
60,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:6].[C:5]-[NH2;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5].[OH2;D0;+0:6],31
61,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:6].[OH;D1;+0:4]-[c:5]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5].[OH2;D0;+0:6],31
62,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:10].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[NH;D2;+0:12]-[C:11]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[C:11]-[NH2;D1;+0:12],31
63,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[C:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15],30
64,[#15:1]-[O;H0;D2;+0:2]-[S;H0;D4;+0:4](=[O;D1;H0:3])(=[O;D1;H0:5])-[O;D1;H1:6].[OH;D1;+0:7]-[c:8]>>[#15:1]-[OH;D1;+0:2].[O;D1;H0:3]=[S;H0;D4;+0:4](=[O;D1;H0:5])(-[O;D1;H1:6])-[O;H0;D2;+0:7]-[c:8],30
